col_0,sieve_mm,retained_pct,retained_pct,passing_pct
,25,0,0,100
,20,0,0,100
,16,13.52,13.52,99.06
,12.5,19.44,5.01,98.72
,10,24.78,5.35,98.34
,8,41.74,16.94,97.17
,6.3,51.17,9.38,96.52
,5,59.48,88.32,95.94
,4,68.28,8.8,95.33
,3.15,79.9,11.7,94.52
,2.5,91.12,11.2,93.74
,2,100.92,9.76,93.07
,1.6,110.112,9.19,92.43
,1.25,121.25,14.14,91.45
,1,131.8,10.56,90.72
,0.8,146.67,14.86,89.69
