col_0,col_1,col_2,col_3,col_4,col_5
,,Ouvertuure du tamis ,Passants par profondeur  1m,Passants par profondeur 1.5m,Passants par profondeur 2m
,,31.15,100,100,100
,,20,97.66,100,100
,,10,95.45,100,100
,,5,87.44,99.19,98.6
,,2.5,73.21,95.94,96.04
,,1.25,60.17,91.5,92.72
,,0.63,54.62,86.49,88.89
,,0.315,47.81,77.87,80.49
,,0.16,40.45,66.76,68.15
,,0.08,34.71,56.3,55.6
