col_0,col_1,col_2,col_3,col_4,col_5,col_6
,,,Ouvertuure du tamis ,Passants par profondeur  1m,Passants par profondeur 1.5m,Passants par profondeur 2m
,,,0.078,29.38,48.68,48.9
,,,0.0563,24.63,44,38.92
,,,0.403,17.98,38.38,32.27
,,,0.0255,17.35,27.14,30.37
,,,0.15,14.18,26.21,28
,,,0.0086,10.38,25.27,25.15
,,,0.0053,7.21,20.05,20.82
,,,0.0049,4.15,15.21,15.43
,,,0.0016,4.08,14.99,10.95
,,,0.001,1.01,10.77,6.2
