n,localités,1,15,2,1,15,2
1,Aképé,0.33,0.5,0.6,Faible,Faible,Faible
2,Assahoun,1.83,3.82,2.64,Faible,Moyen,Moyen
3,Badja,4.6,4.03,5.06,Moyen,Moyen,Moyen
4,Kévé,4.02,3.61,1.2,Moyen,Moyen,Faible
5,Tovégan,4.55,4.88,6.3,Moyen,Moyen,Forte
6,Tsévié blévé,1.33,0.6,0.6,Faible,Faible,Faible
7,Tsévié dalavémodji,1.5,0.6,0.6,Faible,Faible,Faible
8,Tsévié dévé,2.33,0.6,0.6,Faible,Faible,Faible
