col_0,col_1,col_2,col_3,col_4,col_5,col_6
,,,Tamis,Masse de refus cumulées,Refus cumulés,Passants (%)
,,,0.0657,,,60.06
,,,0.0483,,,52.06
,,,0.0354,,,44.06
,,,0.023,,,37.64
,,,0.0135,,,34.44
,,,0.0079,,,31.24
,,,0.0049,,,25.64
,,,0.0035,,,20.2
,,,0.0029,,,15.27
,,,0.0026,,,10.48
,,,0.0022,,,4.09
,,,0.0015,,,0.89
