col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
,,,,,,,Limite de liquidité,,,,
,,,,Wp,Wp,C15,C19,C23,C27,C32,C35
,,,,42.5,46.39,62.97,43.4,64.73,65.39,41.89,66.49
,,,,61.06,64.65,67.36,48.27,69.9,73.35,48.66,72.72
,,,,58.16,61.18,65.58,46.34,67.91,70.37,46.19,70.6
,,,,23,23,68,66,63,60,57,56
