col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
,,,,,,,,,Limite de liquidité,,,
,,,,,,Wp,Wp,C15,C19,C21,C27,C35
,,,,,,24.42,23.7,40.6,30,45,17.4,29
,,,,,,35.97,33.16,45,32.9,48.2,20,31
,,,,,,34.16,31.78,43.7,32.14,47.41,19.52,30.84
,,,,,,19,17,42,36,33,23,9
