col_0,col_1,col_2,col_3,col_4,col_5,col_6
,,,Ouverture tamis,Passants par profondeur 1m ,"Passants par profondeur 1,5 m",Passants par profondeur 2 m
,,,0.069,35.21,25.26,20.56
,,,0.0475,31.5,20.55,19.21
,,,0.0345,26.32,17.87,18.54
,,,0.0215,22.61,17.19,17.86
,,,0.0175,20.39,15.85,17.19
,,,0.0073,19.66,15.17,15.85
,,,0.00465,18.91,14.49,14.5
,,,0.00275,18.16,13.81,13.83
,,,0.00139,17.4,13.12,
