Cantons,Profondeur,WL,WP,IP
Sanfatoute,1,57.57,25.06,32.51
Sanfatoute,1.5,42.95,29.96,12.99
Sanfatoute,2,32.46,23.83,8.63
Sanfatoute,Moyenne,44.33,26.28,18.05
Korbongou,1,39.6,16.66,22.94
Korbongou,1.5,33.47,16.09,17.38
Korbongou,2,24.24,16.22,8.02
Korbongou,Moyenne,32.44,16.32,16.12
