col_0,col_1,col_2,col_3,col_4
,Ouverture des tamis (mm),Passant par profondeur 1m,"Passant par profondeur 1,5m",Passant par profondeur 2m
,0.0671,43.63,28.82,40.13
,0.0474,38.94,25.6,32.47
Analyse  granulmétrie   par sédimentometrie,0.0331,31.7,20.6,28.22
,0.0211,30.59,13.78,22.75
,0.015,29.48,12.66,16.68
,0.0105,26.71,11.91,16.14
,0.0077,24.48,11.53,15.06
,0.0055,22.81,10.78,15.07
,0.0032,21.1,10.4,12.36
