D,col_1,col_2,Taleau 3-5: Récapitulatif des   essais de   densié,col_4,col_5,col_6
,,Référance,Localité/Cantons,profondeur,Densité Apparente,Densité Absolue
,,1,Kévé,1,1.28,2.49
,,1,Kévé,1.5,1.16,2.45
,,1,Kévé,2,1.22,2.58
,,2,Assahoum,1,1.31,2.44
,,2,Assahoum,1.5,1.25,2.44
,,2,Assahoum,2,1.33,2.58
,,3,Badja,1,1.31,2.37
,,3,Badja,1.5,1.32,2.35
,,3,Badja,2,1.5,2.31
