N,Localités,1,1.5,2,1,1.5,2
1,Apéssito,4.16,4.33,5.16,Moyen,Moyen,Moyen
2,Bohou,0.56,0.62,1.59,Faible,Faible,Faible
3,Campement,2.61,2.73,3.79,Moyen,Moyen,Moyen
4,Djidjolé,1.47,0.34,1.07,Faible,Faible,Faible
5,Doutikopé,3.45,4.38,4.71,Moyen,Moyen,Moyen
6,Koudjouwdè,1.11,1.25,1.95,Faible,Faible,Faible
7,Kpawa,1.23,1.25,5.1,Faible,Faible,Moyen
8,Lama Feing,1.51,2.27,2.37,Faible,Faible,Faible
9,Lama Tchamdè,3.06,3.85,3.68,Moyen,Moyen,Moyen
10,Solim,0.91,1.4,1.91,Faible,Faible,Faible
