N,Localités,1,1.5,2,1,1.5,2
1,Abobo,3.74,3.4,4.1,Moyen,Moyen,Moyen
2,Adétikopé,6.56,5.27,3.58,Forte,Moyen,Moyen
3,Apéhéme ,2,3.33,3.33,Faible,Moyen,Moyen
4,Belgique,1.82,3.78,5.5,Faible,Moyen,Moyen
5,Dalavé,5.2,7.4,10.3,Moyen,Forte,Très forte
6,Dikamé,1.32,1.4,2.18,Faible,Faible,Faible
7,Djagblé,1.32,1.4,2.18,Faible,Faible,Faible
8,Dzogbékomé,3.33,3.33,4,Moyen,Moyen,Moyen
9,Gbatopé,1,4,1.6,Faible,Moyen,Faible
10,Hahotoé,1.28,1.7,1.88,Faible,Faible,Faible
11,Kovié,5.99,7.66,8.33,Moyen,Forte,Très forte
12,Mission tové,3,4.5,5,Moyen,Moyen,Moyen
13,Sevegan,1.64,2.75,2.64,Faible,Moyen,Moyen
14,Srikpui( Togblecopé),4.26,6.51,6.83,Moyen,Forte,Forte
15,Tekpo,2,2,2.33,Faible,Faible,Faible
16,Wli,3.77,4.13,4.45,Moyen,Moyen,Moyen
17,Zongo 1,6.23,6.42,6.61,Forte,Forte,Forte
18,Zongo 2,5.55,5.69,5.71,Moyen,Moyen,Moyen
