col_0,col_1,col_2,col_3,col_4,col_5
,Tableau 3-7:Résultats de l'équivalent de sable ,,,,
,,Essai,Résultat obtenu,Résultat exigé en couche de fondation,Résultatsexigé en couche de base
,,Equivalent de sable,50,SUP ou EGALE 50,SUP ou EGALE 50
