col_0,col_1,col_2,col_3,col_4
,Tableau 3-11: Valeur de l'optimum Proctor,,,
,,Echantillon ,Densité sèche gama d(g/cm3),Teneur en eau W (%)
,,Concassé de granite,2.27,5.38
