iter	RMSE
134	0.5050197042
135	0.5049839713
136	0.504950578
137	0.5048987633
138	0.5048127595
139	0.5047345725
140	0.5046609918
141	0.5046129439
142	0.5045946746
143	0.5044982019
144	0.5044324468
145	0.5043035011
146	0.5042274413
147	0.5042112728
148	0.504191805
149	0.5041216199
150	0.5040863725
151	0.5039251235
152	0.5038698155
153	0.5038328815
154	0.503793846
155	0.5037789955
156	0.5036873524
157	0.5035884592
158	0.5035323343
159	0.5035192676
160	0.5034547655
161	0.5033948172
162	0.5033796069
163	0.5033374243
164	0.503322779
165	0.5032583013
166	0.503232149
167	0.5031974126
168	0.5031702487
169	0.5030761663
170	0.5030222014
171	0.5030107281
172	0.5028947219
173	0.5027843489
174	0.5027461526
175	0.5026899789
176	0.5026023958
177	0.5025861433
178	0.5025424415
179	0.5025270987
180	0.5025158034
181	0.5024782291
182	0.5023970184
183	0.5023865015
184	0.5023465458
185	0.502326981
186	0.502255368
187	0.5022221395
188	0.502201117
189	0.5021947177
190	0.5021589635
191	0.5021359371
192	0.5021198189
193	0.5021075355
194	0.5020982757
195	0.5020731659
196	0.5020623324
197	0.5020526604
198	0.5019814963
199	0.5019622663
200	0.5019547762
201	0.5019475821
202	0.5019218263
203	0.5019120858
204	0.5018509051
205	0.5018334937
206	0.5018234243
207	0.5018160873
208	0.5017928495
209	0.5017428161
210	0.5017371026
211	0.5016809514
212	0.5016736025
213	0.5016512705
214	0.5016241077
215	0.5016052153
216	0.5015858835
217	0.5015821274
218	0.5015768252
219	0.5015585562
220	0.5015140909
221	0.5014957787
222	0.5014480443
223	0.5014315667
224	0.5014151371
225	0.5014002592
226	0.501362665
227	0.5013197733
228	0.5013042624
229	0.5012928752
230	0.5012620381
231	0.5012477773
232	0.5012082018
233	0.501196868
234	0.5011666151
235	0.5011637004
236	0.5011505867
237	0.5011390531
238	0.5011261298
239	0.5010985448
240	0.5010859253
241	0.5010538093
242	0.5010241884
243	0.5010137309
244	0.5010041689
245	0.5009932832
246	0.5009839894
247	0.5009748789
248	0.5009724801
249	0.500963878
250	0.50096104
251	0.5009545333
252	0.5009490824
253	0.5009390211
254	0.5009161424
255	0.5009091887
256	0.5008858395
257	0.5008797953
258	0.5008747359
259	0.5008654731
260	0.5008590111
261	0.5008569263
262	0.5008549068
263	0.5008347351
264	0.5008286623
265	0.5008098699
266	0.5008033155
267	0.5007984212
268	0.5007927839
269	0.5007908491
270	0.5007857927
271	0.5007840455
272	0.5007661457
273	0.5007602691
274	0.5007550704
275	0.5007528897
276	0.5007507899
277	0.5007336683
278	0.5007287529
279	0.5007138609
280	0.5007099056
281	0.5007064799
282	0.500704207
283	0.5007028406
284	0.5007001827
285	0.5006942177
286	0.5006917816
287	0.5006894863
288	0.5006248238
289	0.500623528
290	0.500566262
291	0.5005649719
292	0.5005632136
293	0.5005189173
294	0.5005143113
295	0.5005126038
296	0.5004721172
297	0.5004710771
298	0.5004337493
299	0.5004311727
300	0.5004302858
301	0.5003957543
302	0.5003948129
303	0.5003939765
304	0.5003608624
305	0.500360005
306	0.5003311167
307	0.5003300034
308	0.5003289792
309	0.5003282127
310	0.5002989908
311	0.5002980069
312	0.5002717922
313	0.5002708892
314	0.5002702162
315	0.5002695671
316	0.5002655807
317	0.5002647081
318	0.5002640977
319	0.5002627283
320	0.5002589657
321	0.5002239018
322	0.5002231004
323	0.5002221008
324	0.5002213949
325	0.5001987667
326	0.5001982285
327	0.5001977539
328	0.5001685367
329	0.5001650992
330	0.5001646123
331	0.5001642211
332	0.5001610671
333	0.5001580679
334	0.5001576913
335	0.5001395201
336	0.5001390992
337	0.500136139
338	0.5001338073
339	0.5001319506
340	0.5001144283
341	0.5001138617
342	0.5000905485
343	0.5000765297
344	0.5000761451
345	0.5000757728
346	0.5000640141
347	0.5000614891
348	0.5000509053
349	0.5000505435
350	0.5000496696
351	0.5000286297
352	0.5000155914
353	0.5000043869
354	0.4999936664
355	0.4999933069
356	0.4999929271
357	0.4999832048
358	0.4999742259
359	0.4999661506
360	0.4999587655
361	0.4999584176
362	0.4999502161
363	0.4999498909
364	0.4999484054
365	0.4999477911
366	0.4999469529
367	0.4999445601
368	0.4999431593
369	0.4999417509
370	0.4999411397
371	0.4999313809
372	0.4999300301
373	0.4999287131
374	0.4999274315
375	0.4999125063
376	0.4999117769
377	0.4999114916
378	0.4999102773
379	0.4999019416
380	0.4999007319
381	0.4999000735
382	0.4998965421
383	0.499895396
384	0.4998877342
385	0.499887207
386	0.4998842976
387	0.4998828342
388	0.4998812185
389	0.4998809473
390	0.4998805289
391	0.4998796191
392	0.4998791633
393	0.4998775785
394	0.4998773682
395	0.4998767535
396	0.4998762228
397	0.4998753923
398	0.4998751968
399	0.4998736036
