col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
,,,,,,OUVERTURE DU TAMIS (mm),masse de refus cumiles,refus cumiles(%),passant(%)
,,,,,,0.064,,,50.34
,,,,,,0.0451,,,41.21
,,,,,,0.0324,,,29.01
,,,,,,0.0207,,,22.18
,,,,,,0.0122,,,19.05
,,,,,,0.0071,,,12.1
,,,,,,0.0045,,,10.07
,,,,,,0.0033,,,5.61
,,,,,,0.0024,,,4.9
,,,,,,0.002,,,5.65
,,,,,,0.0015,,,3.23
,,,,,,0.63,,,2.26
