col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
,,,,,,,OUVERTURE DU TAMIS (mm),masse de refus cumiles,refus cumiles(%),passant(%)
,,,,,,,0.0755,,,50.34
,,,,,,,0.0534,,,41
,,,,,,,0.0378,,,35.59
,,,,,,,0.0242,,,32.81
,,,,,,,0.0143,,,28.63
,,,,Analyse granulometroique,,,0.0084,,,24.45
,,,,par sedimentation,,,0.0052,,,21.68
,,,,,,,0.0037,,,20.29
,,,,,,,0.003,,,19.18
,,,,,,,0.0026,,,18.9
,,,,,,,0.0022,,,17.78
,,,,,,,0.0015,,,16.8
