col_0,col_1,col_2,col_3,col_4
,Tableau 3-4: Valeurs de l'optimum Proctor,,,
,,Echantillon,Densité sèche gama d (g/cm3),Teneur en eau W(%)
,,Gravier latéritique naturel ,21,8.7
