col_0,col_1,col_2,col_3,col_4
,Materiaux ,Limite de liquidité (Wl),Limite de plasticité,Indice de plasticité
,Latérite améliorée à 5%,35,13,22
,Latérite améliorée à 10%,29.5,10.5,19
,Latérite améliorée à 15%,27.5,8.5,19
,Latérite améliorée à 20%,33,15,18
,Latérite améliorée à 25%,29,13,16
,Latérite améliorée à 30%,30,15,15
,Latérite améliorée à 35%,30,15,15
