col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,,Tableau 3-3: Résultats de l'essai Proctor sur matériau simple ( à 0%),,,,,,
,,Teneur en eau obtenue (%),7.3,8.1,8.6,10.3,11.3,12.3
,,Densité sèche (g/cm 3),2.04,2.08,2.1,2.07,2.05,2.02
