col_0,col_1,col_2,col_3,col_4
,Ouverture des tamis (mm),Masse de  refus  cumulés  (g),refus  cumulés  (%),Passants  (%)
,0.0677,,,21.2
,0.0482,,,14.7
,0.0342,,,12.32
,0.0216,,,10.87
,0.0153,,,10.71
,0.0108,,,10.63
,0.0076,,,10.54
,0.0054,,,10.38
,0.0031,,,10.27
