col_0,col_1,col_2,col_3,col_4,col_5,col_6
,,,Ouverture des tamis (mm),Passant par profondeur 1m,"Passant par profondeur 1,5m",Passant par profondeur 2m
,,,0.0702,61.2,53.31,34.08
,,,0.05,54.5,51.49,28.91
,Analyse  granulmétrie   par sédimentometrie,,0.356,48.2,46.8,24.91
,,,0.229,41.5,41.14,19.14
,,,0.0134,28.74,31.12,15.39
,,,0.0078,19.02,24.75,13.97
,,,0.0048,13.43,24.08,12.42
,,,0.0028,10.95,22.722,11.01
,,,0.0014,5.74,21.99,8.84
