col_0,col_1,col_2,col_3,col_4
,Ouverture des tamis (mm),Masse de  refus  cumulés  (g),refus  cumulés  (%),Passants  (%)
,0.0714,,,39.8
,0.0506,,,36.19
,0.0364,,,27.41
,0.0231,,,23.17
,0.0163,,,19.36
,0.0115,,,15.49
,0.0082,,,14.5
,0.0058,,,13.51
,0.0034,,,13
