col_0,col_1,col_2,col_3,col_4,col_5
,,Ouverture des tamis (mm),Masse de  refus  cumulés  (g),refus  cumulés  (%),Passants  (%)
,,0.0703,,,22.54
,,0.0499,,,18.95
,,0.0354,,,16.11
,,0.0224,,,13.48
Analyse  granulométrique par  sédimentométrie,,0.0159,,,13.5
,,0.0113,,,12.8
,,0.008,,,12.45
,,0.0057,,,11.75
,,0.0033,,,11.37
