a,col_1,col_2,col_3,col_4
,Ouverture des tamis (mm),Masse de  refus  cumulés  (g),refus  cumulés  (%),Passants  (%)
,0.0702,,,61.2
,0.05,,,54.5
,0.0356,,,58.2
,0.0229,,,41.5
,0.0134,,,28.74
,0.0078,,,19.02
,0.0048,,,13.42
,0.0028,,,10.95
,0.0014,,,5.74
