col_0,col_1,col_2,col_3,col_4,col_5,col_6
,,,Tamis,Masse de refus cumulées,Refus cumulés,Passants (%)
,,,0.0595,,,56.62
,,,0.449,,,45.98
,,,0.0334,,,36.66
,,,0.0221,,,27.25
,,,0.0129,,,26.02
,,,0.0075,,,24.69
,,,0.0046,,,23.37
,,,0.0033,,,22.04
,,,0.0027,,,20.71
,,,0.0023,,,20.04
,,,0.0019,,,18.05
,,,0.0014,,,15.36
