col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
,,,,,,,Limite de liquidité,,,,
,,,,Wp,Wp,C15,C19,C23,C27,C32,C35
,,,,30.02,33.5,46.65,62.06,44.3,40.53,36.17,43.7
,,,,45.82,50.48,52.48,69.35,53.25,46,42.25,50.57
,,,,42.67,47.32,50.73,65.24,50.77,44.55,40.68,48.91
,,,,25,23,43,41,38,36,35,34
