col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,,,,Tamis,Masse de refus cumulées,Refus cumulés,Passants (%)
,,,,0.0617,,,58.13
,,,,0.0454,,,50.78
,,,,0.0338,,,40.49
,,,,0.0224,,,30.21
,,,,0.0131,,,27.27
,,,,0.0076,,,26.54
,,,,0.0047,,,23.6
,,,,0.0033,,,21.37
,,,,0.0027,,,19.9
,,,,0.0024,,,18.42
,,,,0.002,,,16.94
,,,,0.0014,,,12.74
