id,code_site,depth_m,sieve_mm,passants_pct,echantillon_id,created_at,updated_at
192,DZOGBECOPE,2,0.08,62.89,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
191,DZOGBECOPE,2,0.0563,59.28,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
190,DZOGBECOPE,2,0.041,56.27,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
189,DZOGBECOPE,2,0.0315,52.25,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
188,DZOGBECOPE,2,0.02,48.83,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
187,DZOGBECOPE,2,0.012,46.22,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
186,DZOGBECOPE,2,0.0072,41.2,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
185,DZOGBECOPE,2,0.0046,38.18,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
200,TEKPO,1,0.08,45.89,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
199,TEKPO,1,0.0555,40.57,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
198,TEKPO,1,0.04,39.47,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
197,TEKPO,1,0.0305,37.82,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
196,TEKPO,1,0.0193,35.76,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
195,TEKPO,1,0.012,33.7,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
