id,essai_id,systeme,classe,reason,version,computed,source,meta,created_at,updated_at,created_by,updated_by,created_by_batch,updated_by_batch,deleted_by_batch,deleted_at
fb98de64-205a-432c-9a7f-28d2a571a295,69379d15-7072-4bd1-b4ca-a059a8dc4499,AASHTO,A-4,,,False,GAMBAGA Inoussa,{},2025-11-03 16:35:23.156,2025-11-03 16:35:23.156,,,MD-20251103-02,,,
46916542-b046-49b2-b3b6-d9b6eab9c007,69379d15-7072-4bd1-b4ca-a059a8dc4499,USCS,"Sol grenue, sable argileux peu plasticité",,,False,GAMBAGA Inoussa,{},2025-11-03 16:35:23.158,2025-11-03 16:35:23.158,,,MD-20251103-02,,,
4ee46642-c426-4130-81d0-960b07346130,78374375-18cb-4e21-abbf-3b1993bd2bc1,AASHTO,A-6,,,False,NICABOU Ninsao Vianney,{},2025-11-03 16:37:01.506,2025-11-03 16:37:01.506,,,MD-20251103-03,,,
3128c2f7-fed2-4e4a-8c7f-337a1e17b0a1,78374375-18cb-4e21-abbf-3b1993bd2bc1,USCS,Sol argileux peu plastique,,,False,NICABOU Ninsao Vianney,{},2025-11-03 16:37:01.509,2025-11-03 16:37:01.509,,,MD-20251103-03,,,
a7083b68-e080-4e46-8343-3ab96becc093,6b3a2d3e-6fbb-4afc-861f-6bc4f1306ca8,AASHTO,A-6,,,False,NICABOU Ninsao Vianney,{},2025-11-03 16:37:01.511,2025-11-03 16:37:01.511,,,MD-20251103-03,,,
5850aa20-1c27-4d40-a327-bc5d4179e6c5,6b3a2d3e-6fbb-4afc-861f-6bc4f1306ca8,USCS,Sol argileux peu plastique,,,False,NICABOU Ninsao Vianney,{},2025-11-03 16:37:01.513,2025-11-03 16:37:01.513,,,MD-20251103-03,,,
858ff6b2-7db4-4168-89e2-5b2af7a09b82,bd9d8c2a-189b-4ffa-800d-0e82a56048c7,AASHTO,A-6,,,False,NICABOU Ninsao Vianney,{},2025-11-03 16:37:01.515,2025-11-03 16:37:01.515,,,MD-20251103-03,,,
a78cb55e-c30e-41a5-98dc-b6a90e2555c3,bd9d8c2a-189b-4ffa-800d-0e82a56048c7,USCS,Sol argileux peu plastique,,,False,NICABOU Ninsao Vianney,{},2025-11-03 16:37:01.516,2025-11-03 16:37:01.516,,,MD-20251103-03,,,
d37b16b2-9950-4bb2-bc52-9c328b671ee0,4f9ef790-d346-4e45-bc63-262aa64497e4,AASHTO,A-6,"WL=32.88, IP=21.94",,False,,{},2025-11-03 17:26:31.413,2025-11-03 17:26:31.413,,,MD-20251103-AGTCHESSI,,,
7d2f599c-2fe9-49e7-9478-ea09e66f10c1,4f9ef790-d346-4e45-bc63-262aa64497e4,USCS,sable argileux grenu,Classification HRB,,False,,{},2025-11-03 17:26:31.413,2025-11-03 17:26:31.413,,,MD-20251103-AGTCHESSI,,,
96f0db45-a1a5-4956-ba21-3b8a476f8527,5441d542-b60a-4920-926e-cecbe26932f5,AASHTO,A-6,"WL=36.53, IP=24.71",,False,,{},2025-11-03 17:26:31.413,2025-11-03 17:26:31.413,,,MD-20251103-AGTCHESSI,,,
b3a8511a-3c44-4e92-9744-2e9c6cdebc4f,5441d542-b60a-4920-926e-cecbe26932f5,USCS,sable argileux grenu,Classification HRB,,False,,{},2025-11-03 17:26:31.413,2025-11-03 17:26:31.413,,,MD-20251103-AGTCHESSI,,,
7259d6f4-7bd8-41de-a29e-06caf5281f83,66e5a64f-7431-4288-91ea-45dafef6d389,AASHTO,A-7-6,"WL=55.27, IP=39.42",,False,,{},2025-11-03 17:26:31.413,2025-11-03 17:26:31.413,,,MD-20251103-AGTCHESSI,,,
d28f7667-0307-442d-9206-d4902c64e135,66e5a64f-7431-4288-91ea-45dafef6d389,USCS,sable argileux grenu,Classification HRB,,False,,{},2025-11-03 17:26:31.413,2025-11-03 17:26:31.413,,,MD-20251103-AGTCHESSI,,,
8f4d2f6e-5bf5-44bf-b9b9-b65591059d71,2a014fb1-a1f5-4597-8282-03b30e7ce1e6,AASHTO,A-7-6,"WL=44.32, IP=17.68",,False,,{},2025-11-03 17:26:31.413,2025-11-03 17:26:31.413,,,MD-20251103-AGTCHESSI,,,
5e689b9d-ade2-4ab4-96e8-f675b88e0acb,2a014fb1-a1f5-4597-8282-03b30e7ce1e6,USCS,Argile peu plastique,VBS=8.75,,False,,{},2025-11-03 17:26:31.413,2025-11-03 17:26:31.413,,,MD-20251103-AGTCHESSI,,,
bb926842-3d04-49d6-b2bc-4a962b8e8b0d,2db932c7-6729-4285-8dbe-6df8595b56cc,AASHTO,A-6,"WL=35.18, IP=14.6",,False,,{},2025-11-03 17:26:31.413,2025-11-03 17:26:31.413,,,MD-20251103-AGTCHESSI,,,
c8185eaa-0d12-499b-a9e3-d4dad701700b,2db932c7-6729-4285-8dbe-6df8595b56cc,USCS,Limon peu plastique,VBS=9.74,,False,,{},2025-11-03 17:26:31.413,2025-11-03 17:26:31.413,,,MD-20251103-AGTCHESSI,,,
0908d451-9352-4247-9a8e-691e0d7c507e,e92030ab-4c81-4558-a3fe-48efdd5c1aeb,AASHTO,A-7-6,"WL=42.01, IP=6.85",,False,,{},2025-11-03 17:26:31.413,2025-11-03 17:26:31.413,,,MD-20251103-AGTCHESSI,,,
78cca703-3d74-4346-ae75-6e551a6a2646,e92030ab-4c81-4558-a3fe-48efdd5c1aeb,USCS,Limon peu plastique,VBS=9.28,,False,,{},2025-11-03 17:26:31.413,2025-11-03 17:26:31.413,,,MD-20251103-AGTCHESSI,,,
e66a411e-9a03-43bd-b282-b33acf666b6b,e0543f77-4c26-4822-ac8e-2fd93e709545,AASHTO,A-6,"WL=21.67, IP=10.29",,False,,{},2025-11-03 17:26:31.413,2025-11-03 17:26:31.413,,,MD-20251103-AGTCHESSI,,,
0cb98ad3-3847-4c1f-8fea-9f91865a6d31,e0543f77-4c26-4822-ac8e-2fd93e709545,USCS,Argile peu plastique,VBS=4.51,,False,,{},2025-11-03 17:26:31.413,2025-11-03 17:26:31.413,,,MD-20251103-AGTCHESSI,,,
2072a594-cb46-4507-86d1-0743e26c067a,eeb59894-6655-4eee-9b0b-2379b7fe4bb5,AASHTO,A-2-6,"WL=28.03, IP=13.84",,False,,{},2025-11-03 17:26:31.413,2025-11-03 17:26:31.413,,,MD-20251103-AGTCHESSI,,,
ec0d2d5b-ed19-4d6c-a38d-f8da82020045,eeb59894-6655-4eee-9b0b-2379b7fe4bb5,USCS,sable argileux grenu,Classification HRB,,False,,{},2025-11-03 17:26:31.413,2025-11-03 17:26:31.413,,,MD-20251103-AGTCHESSI,,,
9c411785-b505-4743-a687-53db65939c5f,23aa5ba7-f918-48a8-a1f7-2856865cd3b8,AASHTO,A-6,"WL=34.36, IP=18.09",,False,,{},2025-11-03 17:26:31.413,2025-11-03 17:26:31.413,,,MD-20251103-AGTCHESSI,,,
6e19141c-0b26-4281-9bfe-f75ab9646442,23aa5ba7-f918-48a8-a1f7-2856865cd3b8,USCS,Argile peu plastique,VBS=7.78,,False,,{},2025-11-03 17:26:31.413,2025-11-03 17:26:31.413,,,MD-20251103-AGTCHESSI,,,
30b7b40e-1ac5-4791-af85-1ad1abab1839,c2f0f07b-8ba6-4008-95d8-d726e52785f1,AASHTO,A-7-6,"WL=61.56, IP=37.45",,False,,{},2025-11-03 17:33:59.160,2025-11-03 17:33:59.160,,,MD-20251103-AKONDOR,,,
aed399cd-294f-4762-96a7-a883e19889e7,c2f0f07b-8ba6-4008-95d8-d726e52785f1,USCS,Sol fin et plasticité moyenne,Classification HRB,,False,,{},2025-11-03 17:33:59.160,2025-11-03 17:33:59.160,,,MD-20251103-AKONDOR,,,
a0997c98-74a5-42fb-8081-5280b3510cd3,f0973bd4-00cc-45b8-a236-af34c060b894,AASHTO,A-6,"WL=35.08, IP=14.0",,False,,{},2025-11-03 17:33:59.160,2025-11-03 17:33:59.160,,,MD-20251103-AKONDOR,,,
6ef46dec-e2b0-4f89-825c-e46b0c30a6fc,f0973bd4-00cc-45b8-a236-af34c060b894,USCS,sol fin et faible plasticité,Classification HRB,,False,,{},2025-11-03 17:33:59.160,2025-11-03 17:33:59.160,,,MD-20251103-AKONDOR,,,
ec09a73b-46f1-4794-b3a7-ea9f777cb23c,5af45af6-abce-4b28-a978-9c7a5590cdb4,AASHTO,A-2-6,"WL=24.19, IP=6.69",,False,,{},2025-11-03 17:33:59.160,2025-11-03 17:33:59.160,,,MD-20251103-AKONDOR,,,
c96cea7c-348b-4e80-afa3-d9ae2b9f3e41,5af45af6-abce-4b28-a978-9c7a5590cdb4,USCS,sol grenu faible plasticité,Classification HRB,,False,,{},2025-11-03 17:33:59.160,2025-11-03 17:33:59.160,,,MD-20251103-AKONDOR,,,
91f43284-23f8-4c8c-af53-4956e3ad50a1,b7d25783-10e7-4e9f-a1c9-57b12c2f65cc,AASHTO,A-6,"WL=52.59, IP=27.11",,False,,{},2025-11-03 17:33:59.160,2025-11-03 17:33:59.160,,,MD-20251103-AKONDOR,,,
6789a280-4e3a-40f0-9626-0a667c86ddda,b7d25783-10e7-4e9f-a1c9-57b12c2f65cc,USCS,Sol fin argile de plasticité faible,Classification HRB,,False,,{},2025-11-03 17:33:59.160,2025-11-03 17:33:59.160,,,MD-20251103-AKONDOR,,,
4265f811-9b17-4e8d-ad28-51144f825fc6,97b44f87-0582-412e-9874-b0d5601de1a8,AASHTO,A-6,"WL=53.48, IP=29.25",,False,,{},2025-11-03 17:33:59.160,2025-11-03 17:33:59.160,,,MD-20251103-AKONDOR,,,
668a1147-4a51-4e31-bffa-3d35cbb6a578,97b44f87-0582-412e-9874-b0d5601de1a8,USCS,sol fin un silt-argile de platicité faible,Classification HRB,,False,,{},2025-11-03 17:33:59.160,2025-11-03 17:33:59.160,,,MD-20251103-AKONDOR,,,
24c73fd6-4520-463f-92ec-a38b0336cf97,2824ddf6-b1d4-4948-bce1-9c09535b3872,AASHTO,A-6,"WL=52.01, IP=30.51",,False,,{},2025-11-03 17:33:59.160,2025-11-03 17:33:59.160,,,MD-20251103-AKONDOR,,,
f6d29ea4-686a-421a-9adc-e918af72e600,2824ddf6-b1d4-4948-bce1-9c09535b3872,USCS,Sol fin un silt-argile de plasticité moyenne,Classification HRB,,False,,{},2025-11-03 17:33:59.160,2025-11-03 17:33:59.160,,,MD-20251103-AKONDOR,,,
37485e6e-f903-4252-8dd5-8aa4a90caadf,5bc20f01-c05c-4a72-aac0-c28bd28bb816,AASHTO,A-7-6,"WL=41.8, IP=19.8, Sol argileux",,False,,{},2025-11-03 17:38:37.592,2025-11-03 17:38:37.592,,,MD-20251103-ANYO,,,
72a090d0-b876-4fab-b722-3b441e77cd64,5bc20f01-c05c-4a72-aac0-c28bd28bb816,USCS,sol fin argileux,Classification unifiée,,False,,{},2025-11-03 17:38:37.592,2025-11-03 17:38:37.592,,,MD-20251103-ANYO,,,
