id,code_site,depth_m,sieve_mm,mass_refus_cum_g,refus_cum_pct,passants_pct,echantillon_id,created_at,updated_at
377,APEHEME,2,31.5,0,0,100,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
376,APEHEME,2,20,0,0,100,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
375,APEHEME,2,10,0,0,100,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
374,APEHEME,2,5,0,0,100,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
373,APEHEME,2,2.5,0.57,0.08,99.92,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
372,APEHEME,2,1.25,7.25,1.15,98.85,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
371,APEHEME,2,0.63,48.64,8.32,91.68,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
370,APEHEME,2,0.315,111.99,24.82,75.18,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
369,APEHEME,2,0.16,11.58,41.26,58.74,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
368,APEHEME,2,0.08,57.64,49.76,50.24,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
367,APEHEME,2,0.0623,,,45.09,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
366,APEHEME,2,0.0445,,,43.23,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
365,APEHEME,2,0.033,,,40.58,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
364,APEHEME,2,0.021,,,36.97,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
363,APEHEME,2,0.013,,,33.37,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
396,DZOGBECOPE,1,40,,,100,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
395,DZOGBECOPE,1,31.5,,,100,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
394,DZOGBECOPE,1,20,,,100,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
