col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,,,Limite de liquidité,,,,
,WP,WP,C16,C22,C27,C34,C38
,1,2,1,2,3,4,5
,45.55,42.55,52.23,51.98,57.15,45.31,50.61
,45.05,41.9,48.4,48.07,5127,42.9,47.85
,41.29,37.14,39.55,37.85,48.41,35.76,39.45
,13.3,13.66,43.28,38.26,35.98,33.75,32.86
