col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
,,,,,Limite de liquidité,,,,
,,,WP,WP,C18,C23,C27,C32,C38
,,,1,2,1,2,3,4,5
,,,45.42,46.34,53.18,49.67,48.89,53.36,47.66
,,,44.32,45.14,49.93,46.67,45.99,50.34,44.65
,,,36.24,36.48,39.65,37.07,36.65,40.55,34.8
,,,13.61,13.86,31.61,31.19,31.05,30.85,30.56
