col_0,col_1,col_2,col_3,col_4,col_5,col_6
,,Limite de liquidité,,,,
WP,WP,C18,C22,C26,C33,C38
1,2,1,2,3,4,5
45.45,46.57,52.56,53.75,60.27,50.97,56.68
44.53,45.76,50.14,51.06,57.46,48.46,53.7
36.79,39.16,38.49,37.82,43.31,35.77,37.5
11.89,12.27,20.77,20.32,19.72,18.84,18.4
