col_0,col_1,col_2,col_3,col_4,col_5
,,Ouverture des tamis (mm),Passant par profondeur 1m,"Passant par profondeur 1,5m",Passant par profondeur 2m
,,0.0714,39.8,22.54,21.2
,,0.0506,36.19,18.95,14.7
,,0.0364,27.41,16.11,12.32
,,0.0231,23.17,13.85,10.87
Analyse  granulométrie par  tamisage,Analyse  granulmétrie   par sédimentometrie,0.0163,19.36,13.5,10.71
,,0.0115,15.49,12.8,10.63
,,0.00822,14.5,12.45,10.54
,,0.0058,13.51,11.75,10.38
,,0.0034,13,11.37,10.27
