col_0,col_1,col_2,col_3,col_4
,,,AGT  Dapaong(Nassablé),
,,,%Passants,
,Tamis(mm),Tamis 1m,"Tamis 1,5m",Tamis 2m
,16,100,100,100
,12.5,99.75,98.04,98.76
,10,98.44,91.82,97.82
,5,92.07,76.21,93.84
,2.5,89.64,68.01,87.49
,1.25,82.1,59.75,79.49
,0.63,66.52,49.62,69.48
,0.32,52.02,40.17,60.09
,0.16,45.69,36.29,55.79
,0.08,41.69,33.79,53.04
,MF,2.77,5.14,1.95
