col_0,col_1,col_2,col_3,col_4,col_5
,,, AGT Nagerou (Konsogou T1),,
,,,passants par profondeur(,,(%)
,,Tamis (mm),Tamis(1m),"Tamis(1,5m)",Tamis(2m)
,,16,100,100,100
,,12.5,100,99.62,99.77
,,10,99.26,98.44,99.5
,,5,98.36,91.94,94.52
,,2.5,97.51,88.05,86.64
,,1.25,90.69,79.98,74.69
,,0.63,71.28,65.31,64.04
,,0.32,54.83,55.51,57.58
,,0.16,47.45,50.98,54.39
,,0.8,42.78,46.39,52.09
,,MF,2.8,6.23,1.8
