col_0,col_1,col_2,col_3,col_4,col_5,col_6
,,,,AGS KONTONGBONGUE (2m),,
,,,,Ouverture du tamis (mm),,Passants (%)
,,,,0.0438,,21.77
,,,,0.0314,,20.19
,,,,0.0225,,18.61
,,,,0.0145,,16.24
,,,,0.0105,,13.87
,,,,0.0075,,12.29
,,,,0.0053,,12.29
,,,,0.0038,,8.34
,,,,0.0031,,9.13
