col_0,col_1,col_2,col_3,col_4
,Localité,Profondeurs,Classification HBR,Classification Unifiée
,Apéhémé,1m,A-4,Sol argileux peu plastique
,Apéhémé,"1,5m",A-6,Sol argileux peu plastique
,Apéhémé,2m,A-6,Sol argileux peu plastique
,Dzogbécopé,1m,A-6,Sol argileux peu plastique
,Dzogbécopé,"1,5m",A-7-6,Sol argileux peu plastique
,Dzogbécopé,2m,A-6,Sol argileux peu plastique
,Tekpo,1m,A-6,Sol argileux peu plastique
,Tekpo,"1,5m",A-6,Sol argileux peu plastique
,Tekpo,2m,A-6,Sol argileux peu plastique
