col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
,,,,,,Limite de liquidité,,,,
,,,,WP,WP,C18,C23,C27,C32,C38
,,,,1,2,1,2,3,4,5
,,,,43.27,49.57,50.42,50.4,52.72,48.06,48.01
,,,,42.32,48.47,47.36,47.59,50.07,45.45,45.32
,,,,35.92,40.89,37.14,38.16,41.04,36.47,36
,,,,14.84,14.51,29.94,29.8,29.35,29.06,28.86
