col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
,,,,,,,Limite de liquidité,,,,
,,,,,WP,WP,C18,C23,C27,C32,C38
,,,,,1,2,1,2,3,4,5
,,,,,44.91,46.21,43.78,50.02,46.39,49.15,44.36
,,,,,43.57,44.73,41.29,47.54,43.76,45.87,42.35
,,,,,36.46,36.81,34.81,41.03,36.7,36.53,36.37
,,,,,18.85,18.69,38.43,38.1,37.25,35.12,33.61
