col_0,col_1,col_2,col_3,col_4
,Tamis (mm),% Passants par profondeurs 1m,"% Passants par profondeurs 1,5m",% Passants par profondeurs 2m
,12.5,100,100,100
,10,99.4,100,100
,5,95.23,99.97,100
,2.5,93.73,99.87,99.92
,1.25,92.36,98.82,98.85
,0.63,84.73,91.51,91.68
,0.32,65.01,75.09,75.18
,0.16,47.18,58.41,58.74
,0.08,37.99,50.58,50.24
