mh,w,ms,col_3,col_4,col_5,col_6,col_7
700.33,2.46,683.52,,,,,
,,,Tamis,M. ref. (g),Ref. Cum. (g),Ref. Cum. (%),Pas. Cum. (%)
,,,40,0,0,0,100
,,,31.5,0,0,0,100
,,,20,0,0,0,100
,,,10,0,0,0,100
,,,5,7.49,7.49,1.1,98.9
,,,2.5,3.26,10.75,1.57,98.43
,,,1.25,7.03,17.78,2.6,97.4
,,,0.63,40.78,58.56,8.57,91.43
,,,0.315,101.99,160.55,23.49,76.51
,,,0.16,121.76,282.31,41.3,58.7
,,,0.08,73.79,356.1,52.1,47.9
,,,0.0555,,,,42.82
,,,0.041,,,,40.01
,,,0.0318,,,,36.37
,,,0.0203,,,,32.01
,,,0.0128,,,,27.64
,,,0.0075,,,,24
,,,0.0048,,,,21.68
