col_0,col_1,col_2,col_3,col_4,col_5
,,Tamis (mm),% Passants par profondeurs 1m,"% Passants par profondeurs 1,5m",% Passants par profondeurs 2m
,,12.5,100,100,100
,,10,100,100,100
,,5,98.9,99.8,99.52
,,2.5,98.43,99.7,99.3
,,1.25,97.4,99.04,98.43
,,0.63,91.43,94.92,95.03
,,0.32,76.51,82.14,84.77
,,0.16,58.7,65.41,71.57
,,0.08,47.9,55.02,62.89
