mh,w,ms,col_3,col_4,col_5,col_6,col_7
700.2,4.92,667.37,,,,,
,,,Tamis,M. ref. (g),Ref. Cum. (g),Ref. Cum. (%),Pas. Cum. (%)
,,,40,0,0,0,100
,,,31.5,0,0,0,100
,,,20,0,0,0,100
,,,10,0,0,0,100
,,,5,3.18,3.18,0.48,99.52
,,,2.5,1.46,4.64,0.7,99.3
,,,1.25,5.85,10.49,1.57,98.43
,,,0.63,22.68,33.17,4.97,95.03
,,,0.315,68.45,101.62,15.23,84.77
,,,0.16,88.12,189.74,28.43,71.57
,,,0.08,57.95,245.69,37.11,62.89
,,,0.0563,,,,59.28
,,,0.041,,,,56.27
,,,0.0315,,,,52.25
,,,0.02,,,,48.83
,,,0.012,,,,46.22
,,,0.0072,,,,41.2
,,,0.0046,,,,38.18
