col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,,,Limite de liquidité,,,,
,WP,WP,C18,C23,C27,C32,C38
,1,2,1,2,3,4,5
,43.66,49.48,49.43,44.65,52.14,45,49.09
,43.1,48.75,46.71,41.72,48.87,42.42,46.42
,38.94,43.28,40.4,34.79,40.89,35.85,39.33
,13.46,13.35,43.11,42.28,40.98,39.27,37.66
