col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,,,Limite de liquidité,,,,
,WP,WP,C18,C23,C26,C33,C38
,1,2,1,2,3,4,5
,42.08,41.14,49.17,47.53,48.94,47,45.73
,41.5,40.58,46.77,44.81,46.52,44.63,42.95
,37.04,36.38,39.62,36.48,38.91,37.09,33.85
,13,13.33,33.57,3265,31.8,31.43,30.55
