col_0,col_1,col_2,col_3,col_4
,Localité,Profondeurs,Teneur en eau,Is
,Apéhémé,1m,14.79,0.75
,Apéhémé,"1,5m",16.21,0.44
,Apéhémé,2m,15.45,0.42
,Dzogbécopé,1m,3.39,0.11
,Dzogbécopé,"1,5m",5.3,0.13
,Dzogbécopé,2m,6.19,0.16
,Tekpo,1m,9.69,0.13
,Tekpo,"1,5m",8.57,0.13
,Tekpo,2m,9.41,0.19
