col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,,,,,,,Grandeurs,
,,,Réference,Cantons,Profondeurs,Wi,Wp,Lp
,,,1,Yade,1,61.5,23,38.5
,,,1,Yade,1.5,37,24,13
,,,1,Yade,5,34.5,22,12.5
,,,1,Yade,Moyenne,44.33,23,21.33
,,,2,Tchitchao,1,26.33,18,8.33
,,,2,Tchitchao,1.5,48.5,17,31.5
,,,2,Tchitchao,5,52,15,37
,,,2,Tchitchao,Moyenne,42.28,16.67,25.61
