col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
,,,,,,,,Limite de liquidité,,,
,,,,,Wp,Wp,C15,C19,C21,C27,C35
,,,,,21.17,23.47,40,50.93,43.47,42.07,39.78
,,,,,32.24,37.16,44.24,54.3,47.35,46.45,42.8
,,,,,30.88,35.19,42.61,53.06,46,45.02,41.87
,,,,,14,17,62,58,53,48,44
