col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
,,,,,,,Limite de liquidité,,,,
,,,,Wp,Wp,C15,C19,C23,C27,C32,C35
,,,,32,32.62,42.2,44.8,44.7,41.4,63.38,45.74
,,,,49.12,53.27,47.65,50.4,50.54,49.13,67.89,54.74
,,,,46.1,49.55,46,48.8,48.89,45.09,66.74,52.6
,,,,21,22,43,40,39,36,34,31
