ouverture_du_tamismm,retained_pct,retained_pct,passing_pct
0.0666,,,49.7
0.0477,,,45.81
0.0342,,,41.92
0.022,,,37.06
0.0129,,,32.21
0.0075,,,28.32
0.0046,,,25.4
0.0033,,,23.45
0.0027,,,22.48
0.0024,,,21.51
0.0019,,,20.55
0.0014,,,20.55
