ouverture_du_tamismm,retained_pct,retained_pct,passing_pct
0.0649,,,34.66
0.0467,,,31.4
0.0334,,,28.79
0.0214,,,26.83
0.0125,,,24.22
0.0073,,,22.92
0.0045,,,21.09
0.0032,,,19.78
0.0026,,,19
0.0023,,,18.09
0.0019,,,17.04
0.0013,,,17.05
