col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,,Reference,Localité,Profondeurs,Wi,Wp,Ip
,,1,Tchamba,1,30.64,17.81,12.83
,,1,Tchamba,1.5,34.91,16.08,18.83
,,1,Tchamba,2,37.44,17.14,20.03
,,,Tchamba,Moyenne,34.33,17.01,17.23
,,2,Alibi,1,35.03,11.94,23.09
,,2,Alibi,1.5,30.79,12.92,17.87
,,2,Alibi,2,27.14,11.72,15.42
,,,,Moyenne,30.99,12.19,18.79
