col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,,,,Ouverture tamis (mm),Passants par profondeur 1m ,"Passants par profondeur 1,5 m",Passants par profondeur 2 m
,,,,0.066,52.13,39.33,36.09
,,,,0.046,36.73,32.86,31.94
,,,,0.033,32.2,31.02,25.31
,,,,0.02,27.66,28.25,22
,,,,0.012,24.04,26.4,21.17
,,,,0.0071,23.14,24.55,21.17
,,,,0.0046,23.13,22.69,18.69
,,,,0.00275,22.22,20.82,17.03
,,,,0.00139,18.57,18.96,14.55
