col_0,col_1,col_2,col_3,col_4,col_5
,Localité,Profondeur (m) ,Classification HRB,Classification Unifié,Classification d'après le bleu de méthylène
,Tchamba,1,A-6,Sol grenu argileux,Sol sablo limoneux sensible à l'eau
,Tchamba,1.5,A-6,Sol grenu argileux,Sol sablo limoneux sensible à l'eau
,Tchamba,2,A-6,Sol fin argileux,"Sol sablo argileux, peu plastique"
,Alibi,1,A-6,Sol fin argileux,Sol limoneux de plasticité moyenne
,Alibi,1.5,A-6,Sol fin argileux,"Sol  sablo argileux, peu plastique"
,Alibi,2,A-6,Sol fin argileux,"Sol sablo argileux, peu plastique"
