col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,,,,,,"AGT NASSABLE  (1,5m)",,
,,,,,Ouverture du tamis (mm),Masse de refus cumulés(g),Refus cumulés (%),Passants (%)
,,,,,25,100,0,100
,,,,,20,23.69,0,100
,,,,,16,46.46,0,100
,,,,,12.5,83.63,1.96,98.04
,,,,,10,113.17,6.22,91.82
,,,,,8,140.85,5.74,86.07
,,,,,6.3,178.35,5.89,80.18
,,,,,5,217.57,3.98,76.21
,,,,,4,257.57,2.87,73.33
,,,,,3.15,303.14,3.38,69.95
,,,,,2.5,338.2,1.95,68.01
,,,,,2,368.57,2.48,65.53
,,,,,1.6,394.39,2.76,62.77
,,,,,1.25,418.32,3.02,59.75
,,,,,1,435.44,2.59,57.16
,,,,,0.8,452.86,3.92,53.24
,,,,,0.63,471.59,3.62,49.62
,,,,,0.5,500.6,4.1,45.52
,,,,,0.4,536.93,3.08,42.44
,,,,,0.315,585.66,2.27,40.17
,,,,,0.25,630.87,1.56,38.61
,,,,,0.2,693.16,1.31,37.3
,,,,,0.16,737,1.01,36.29
,,,,,0.125,793.91,1.12,35.17
,,,,,0.1,822.25,1.02,34.15
,,,,,0.08,835.62,0.36,33.79
