col_0,col_1,col_2,col_3,col_4,col_5
,,,AGT Nagerou(Konsogou T2),,
,,,Passant par profondeur(%),,
,,Tamis(mm),Tamis 1m,"Tamis1,5m",Tamis2m
,,16,100,100,100
,,12.5,100,99.22,99.34
,,10,10,96.77,97.24
,,5,98.14,90.12,84.57
,,2.5,96.36,86.07,66.26
,,1.25,88.58,78.15,59.1
,,0.63,69.74,63.56,53.06
,,0.32,53.97,52.54,48.14
,,0.16,47.27,47.23,45.3
,,0.08,42.72,43.56,42.78
,,MF,6.58,3.52,3.04
