localite_norm,excel_n_wl,excel_n_wp,excel_n_ip_calc,excel_wl_mean,excel_wp_mean,excel_ip_calc_mean,db_n_wl,db_n_wp,db_n_ip_calc,db_wl_mean,db_wp_mean,db_ip_calc_mean,abs_diff_wl,abs_diff_wp,abs_diff_ip,threshold,status
koudjounde,3,3,3,54.196666666666665,32.61,21.586666666666666,3,3,3,54.196666666666665,32.61,21.586666666666666,0.0,0.0,0.0,0.1,OK
koudjouwde,0,0,0,,,,3,3,3,54.196666666666665,32.61,21.586666666666666,,,,0.1,NO_COMPARABLE_VALUES
kovie,3,3,3,52.266666666666666,24.513333333333335,27.753333333333334,3,3,3,52.266666666666666,24.513333333333335,27.753333333333334,0.0,0.0,0.0,0.1,OK
kpadape,3,0,0,60.8,,,3,3,3,60.8,0.0,60.8,0.0,,,0.1,OK
kparatao,0,0,0,,,,3,3,3,0.0,0.0,0.0,,,,0.1,NO_COMPARABLE_VALUES
kpawa,3,3,3,61.82,38.31333333333333,23.506666666666668,3,3,3,61.82,38.31333333333333,23.506666666666668,0.0,0.0,0.0,0.1,OK
kpime (seva),0,0,0,,,,3,3,3,30.12,15.256666666666668,14.863333333333333,,,,0.1,NO_COMPARABLE_VALUES
kpime (tomegbe),0,0,0,,,,3,3,3,25.48,12.583333333333334,12.896666666666667,,,,0.1,NO_COMPARABLE_VALUES
kpime (woume),0,0,0,,,,3,3,3,35.17666666666667,18.1,17.076666666666668,,,,0.1,NO_COMPARABLE_VALUES
kpime seva,3,3,3,30.12,15.256666666666668,14.863333333333333,3,3,3,30.12,15.256666666666668,14.863333333333333,0.0,0.0,0.0,0.1,OK
kpime tomegbe,3,3,3,25.48,12.583333333333334,12.896666666666667,3,3,3,25.48,12.583333333333334,12.896666666666667,0.0,0.0,0.0,0.1,OK
kpime woume,3,3,3,35.17666666666667,18.1,17.076666666666668,3,3,3,35.17666666666667,18.1,17.076666666666668,0.0,0.0,0.0,0.1,OK
kpodzi,3,3,3,42.34666666666667,30.093333333333334,12.253333333333334,3,3,3,42.34666666666667,30.093333333333334,12.253333333333334,0.0,0.0,0.0,0.1,OK
lama feing,3,3,3,40.50333333333333,27.459999999999997,13.043333333333333,3,3,3,40.50333333333333,27.459999999999997,13.043333333333333,0.0,0.0,0.0,0.1,OK
lama tchamde,3,3,3,28.02,13.93,14.09,3,3,3,28.02,13.93,14.09,0.0,0.0,0.0,0.1,OK
lama-tessi,3,3,3,33.026666666666664,22.88,10.146666666666667,3,3,3,33.026666666666664,22.88,10.146666666666667,0.0,0.0,0.0,0.1,OK
lavie apedome,3,3,3,24.14,14.6,9.540000000000001,3,3,3,24.14,14.6,9.540000000000001,0.0,0.0,0.0,0.1,OK
mission tove,3,3,3,41.13666666666666,15.396666666666667,25.740000000000002,3,3,3,41.13666666666666,15.396666666666667,25.740000000000002,0.0,0.0,0.0,0.1,OK
nyamassila,3,3,3,52.693333333333335,23.736666666666668,28.956666666666667,3,3,3,52.693333333333335,23.736666666666668,28.956666666666667,0.0,0.0,0.0,0.1,OK
ountivou,3,3,3,30.383333333333333,10.26,20.123333333333335,3,3,3,30.383333333333333,10.26,20.123333333333335,0.0,0.0,0.0,0.1,OK
pittah,3,3,3,40.51,22.5,18.009999999999998,3,3,3,40.51,22.5,18.009999999999998,0.0,0.0,0.0,0.1,OK
sanfatoute,3,3,3,37.660000000000004,27.616666666666667,10.043333333333333,3,3,3,37.660000000000004,27.616666666666667,10.043333333333333,0.0,0.0,0.0,0.1,OK
sevagan,3,3,3,40.0,20.666666666666668,19.333333333333332,3,3,3,40.0,20.666666666666668,19.333333333333332,0.0,0.0,0.0,0.1,OK
sevegan,0,0,0,,,,3,3,3,40.0,20.666666666666668,19.333333333333332,,,,0.1,NO_COMPARABLE_VALUES
solim,3,3,3,45.550000000000004,29.78,15.77,3,3,3,45.550000000000004,29.78,15.77,0.0,0.0,0.0,0.1,OK
sotouboua (sonde),3,3,3,56.92,28.4,28.520000000000003,3,3,3,56.92,28.4,28.520000000000003,0.0,0.0,0.0,0.1,OK
srikpui (togblecope),3,3,3,53.21333333333333,15.603333333333333,37.61,3,3,3,53.21333333333333,15.603333333333333,37.61,0.0,0.0,0.0,0.1,OK
tchalo,3,0,0,18.836666666666666,,,3,3,3,18.836666666666666,0.0,18.836666666666666,0.0,,,0.1,OK
