col_0,col_1,col_2,col_3,col_4,col_5,col_6
,LOCALITE,FROFONDEUR,WL,WP,IP,IC
,Apéhémé,1m,19.8,12.08,7.72,2.37
,Apéhémé,"1,5m",36.8,13.48,23.32,1.44
,Apéhémé,2m,32.31,13.17,19.14,1.55
,Dzogbécopé,1m,29.65,12.29,17.36,1.51
,Dzogbécopé,"1,5m",41.2,13.41,27.79,1.36
,Dzogbécopé,2m,39.1,13.65,25.45,1.41
,Tekpo,1m,31.18,31.18,17.44,1.7
,Tekpo,"1,5m",29.5,29.5,14.82,1.9
,Tekpo,2m,37.4,29.5,18.63,1.92
