Mh,w,Ms,col_3,col_4,col_5,col_6,col_7
700.86,2.49,683.83,,,,,
,,,Tamis,M. ref. (g),Ref. Cum. (g),Ref. Cum. (%),Pas. Cum. (%)
,,,40,0,0,0,100
,,,31.5,0,0,0,100
,,,20,0,0,0,100
,,,10,0,0,0,100
,,,5,0,0,0,100
,,,2.5,0,0,0,100
,,,1.25,2.75,2.75,0.4,99.6
,,,0.63,48.02,50.77,7.42,92.58
,,,0.315,143.92,194.69,28.47,71.53
,,,0.16,138.23,332.92,48.68,51.32
,,,0.08,45.39,378.31,55.32,44.68
,,,0.0563,,,,41.27
,,,0.041,,,,38.98
,,,0.0315,,,,36.41
,,,0.02,,,,33.41
,,,0.012,,,,30.41
,,s,0.0072,,,,27.99
,,,0.0046,,,,26.56
