Mh,w,Ms,col_3,col_4,col_5,col_6,col_7
700.32,1.92,687.13,,,,,
,,,Tamis,M. ref. (g),Ref. Cum. (g),Ref. Cum. (%),Pas. Cum. (%)
,,,40,0,0,0,100
,,,31.5,0,0,0,100
,,,20,0,0,0,100
,,,10,0,0,0,100
,,,5,0,0,0,100
,,,2.5,0.47,0.47,0.07,99.93
,,,1.25,3.13,3.6,0.52,99.48
,,,0.63,51.91,55.51,8.08,91.92
,,,0.315,139.37,194.88,28.36,71.64
,,,0.16,133.31,328.19,47.76,52.24
,,,0.08,43.6,371.19,54.11,45.89
,,,0.0555,,,,40.57
,,,0.04,,,,39.47
,,,0.305,,,,37.82
,,,0.0193,,,,35.76
,,,0.012,,,,33.7
,,,0.0069,,,,31.91
,,,0.0043,,,,30.71
