col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,,,,Limite de liquidité,,,,
,,WP,WP,C18,C23,C27,C32,C38
,,1,2,1,2,3,4,5
,,41.35,43.79,48.59,49.02,51.96,48.33,52.97
,,40.95,43.11,45.26,45.77,48.65,45.04,50.32
,,38.02,38.13,37.33,37.52,39.99,36.19,42.77
,,13.65,13.65,41.99,39.39,38.22,37.18,35.1
